frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,sclk,sol
SITE,14,-1,-1,-655,-660.438,1.07,-272694.268,8146150.785,-4.600517243,-4.654917822,137.430491,-4502.11,4721.07,20451.14,1181.19,5113.29,0,0,0,430521511,372
ROVER,14,0,0,-655,-660.438,1.07,-272694.268,8146150.785,-4.600517243,-4.654917822,137.430491,-4502.11,4721.07,20451.14,1181.19,5113.29,1.529,3.146,-144.41,430521511,372
ROVER,14,156,-1,-688.92,-651.412,0.68,-272728.188,8146159.811,-4.601089493,-4.65549678,137.4306433,-4501.72,4856.75,20487.24,1215.11,5122.32,0.023,0.96,-152.072,430696271,374
ROVER,14,454,-1,-721.648,-677.198,2.44,-272760.916,8146134.025,-4.601641635,-4.656055393,137.4302083,-4503.48,4987.66,20384.1,1247.84,5096.53,-3.852,1.203,-149.179,430877688,376
ROVER,14,800,-1,-756.388,-712.825,1.39,-272795.656,8146098.398,-4.602227719,-4.656648347,137.4296072,-4502.43,5126.62,20241.59,1282.58,5060.91,-2.713,1.75,-138.851,430966041,377
ROVER,14,1132,-1,-823.791,-768.928,2.17,-272863.059,8146042.295,-4.603364849,-4.657798805,137.4286607,-4503.21,5396.24,20017.18,1349.98,5004.8,-0.059,-0.118,-137.425,431052023,378
ROVER,14,1262,-1,-829.347,-782.713,1.49,-272868.615,8146028.51,-4.603458582,-4.657893637,137.4284282,-4502.53,5418.46,19962.04,1355.54,4991.02,-2.087,1.361,-129.898,431140285,379
SITE,15,-1,-1,-856.972,-813.328,2.51,-272896.24,8145997.895,-4.603924632,-4.65836515,137.4279117,-4503.55,5528.96,19839.58,1383.16,4960.4,0,0,0,431506575,383
ROVER,15,0,0,-856.972,-813.328,2.51,-272896.24,8145997.895,-4.603924632,-4.65836515,137.4279117,-4503.55,5528.96,19839.58,1383.16,4960.4,1.035,-0.812,-135.428,431506575,383
ROVER,15,998,-1,-980.277,-851.239,-0.14,-273019.545,8145959.984,-4.606004862,-4.660469762,137.4272721,-4500.9,6022.18,19687.94,1506.47,4922.49,3.143,1.737,-173.678,431679716,385
ROVER,15,1230,-1,-994.832,-863.866,0.63,-273034.1,8145947.357,-4.606250414,-4.660718192,137.4270591,-4501.67,6080.4,19637.43,1521.02,4909.86,4.944,0.294,179.401,431938498,388
SITE,16,-1,-1,-1043.617,-910.119,4.81,-273082.885,8145901.104,-4.607073446,-4.661550871,137.4262787,-4505.85,6275.54,19452.42,1569.81,4863.61,0,0,0,432125083,390
ROVER,16,0,0,-1043.617,-910.119,4.81,-273082.885,8145901.104,-4.607073446,-4.661550871,137.4262787,-4505.85,6275.54,19452.42,1569.81,4863.61,2.284,3.361,160.532,432125083,390
ROVER,16,50,-1,-1046.07,-909.393,4.69,-273085.338,8145901.83,-4.60711483,-4.66159274,137.426291,-4505.73,6285.35,19455.32,1572.26,4864.34,-1.295,4.546,141.112,432296393,392
ROVER,16,148,-1,-1052.123,-910.356,4.05,-273091.391,8145900.867,-4.607216948,-4.661696054,137.4262747,-4505.09,6309.56,19451.47,1578.32,4863.37,1.053,9.292,173.93,432654632,396
ROVER,16,328,-1,-1051.367,-932.821,3.91,-273090.635,8145878.402,-4.607204194,-4.661683151,137.4258957,-4504.95,6306.54,19361.61,1577.56,4840.91,-1.929,10.277,-99.872,433177644,402
ROVER,16,1052,-1,-1101.109,-971.014,3.81,-273140.377,8145840.209,-4.608043371,-4.662532164,137.4252514,-4504.85,6505.51,19208.84,1627.3,4802.72,3.935,4.826,-139.296,433278537,403
ROVER,16,1584,-1,-1133.183,-1020.442,1.75,-273172.451,8145790.781,-4.608584479,-4.663079614,137.4244175,-4502.79,6633.8,19011.12,1659.38,4753.29,-0.286,0.211,-97.086,433361735,404
SITE,17,-1,-1,-1189.902,-1050.494,2.43,-273229.17,8145760.729,-4.609541363,-4.664047713,137.4239105,-4503.47,6860.68,18890.92,1716.09,4723.24,0,0,0,433539313,406
ROVER,17,0,0,-1189.902,-1050.494,2.43,-273229.17,8145760.729,-4.609541363,-4.664047713,137.4239105,-4503.47,6860.68,18890.92,1716.09,4723.24,1.96,-2.332,-149.142,433539313,406
ROVER,17,676,-1,-1255.332,-1042.272,2.19,-273294.6,8145768.951,-4.610645206,-4.665164495,137.4240492,-4503.23,7122.4,18923.8,1781.52,4731.46,1.467,1.723,-173.869,433816752,409
ROVER,17,820,-1,-1281.437,-1060.823,1.11,-273320.705,8145750.4,-4.611085614,-4.665610064,137.4237363,-4502.15,7226.82,18849.6,1807.63,4712.91,-1.697,4.23,-145.541,433893078,410
SITE,18,-1,-1,-1325.121,-1141.553,1.93,-273364.389,8145669.67,-4.611822589,-4.666355677,137.4223743,-4502.97,7401.56,18526.68,1851.31,4632.18,0,0,0,434077020,412
ROVER,18,0,0,-1325.121,-1141.553,1.93,-273364.389,8145669.67,-4.611822589,-4.666355677,137.4223743,-4502.97,7401.56,18526.68,1851.31,4632.18,4.093,0.895,-142.196,434077020,412
ROVER,18,422,-1,-1397.599,-1141.662,-0.62,-273436.867,8145669.561,-4.613045337,-4.667592756,137.4223725,-4500.42,7691.47,18526.24,1923.79,4632.07,-1.141,1.681,160.154,434163560,413
ROVER,18,786,-1,-1416.097,-1194.11,-2.27,-273455.365,8145617.113,-4.613357409,-4.667908486,137.4214876,-4498.77,7765.46,18316.45,1942.29,4579.62,0.356,5.969,175.384,434521436,417
SITE,19,-1,-1,-1526.14,-1236.674,-3.14,-273565.408,8145574.549,-4.615213901,-4.669786736,137.4207696,-4497.9,8205.63,18146.2,2052.33,4537.06,0,0,0,434700906,419
